USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
590,Oro,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
314,Oro,CALI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
64,Oro,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,aventurero
347,Oro,BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,explorador
88,Bronce,MEDELLIN,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
47,Bronce,VILLAVICENCIO,META,COLOMBIA,LLANOS,aventurero
35,Oro,SAN GIL,SANTANDER,COLOMBIA,SANTANDERES,aventurero
181,Oro,VILLAVICENCIO,META,COLOMBIA,LLANOS,explorador
17,Oro,LA ESTRELLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Oro,NO DEFINIDA,N/A,COLOMBIA,,recien nacido
87,Oro,SOGAMOSO,BOYACA,COLOMBIA,CUNDI-BOY,explorador
63,Plata,BELLO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
4,Oro,LA CALERA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
5,Oro,ENGATIVA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
5,Plata,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
5,Oro,PUERTO SALGAR,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
91,Oro,FLORENCIA,CAQUETA,COLOMBIA,LLANOS,explorador
1,Bronce,LA VEGA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
56,Oro,GIRON,SANTANDER,COLOMBIA,SANTANDERES,explorador
20,Oro,GIRARDOTA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
4,Oro,SAN ANTONIO DE PRADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
10,Plata,FLORIDABLANCA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
51,Oro,FACATATIVA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
4,Oro,HOBO,HUILA,COLOMBIA,CENTRO,explorador
49,Oro,SANTA MARTA,MAGDALENA,COLOMBIA,ATLANTICO,aventurero
176,Plata,CALI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
26,Oro,DUITAMA,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
150,Oro,VILLAVICENCIO,META,COLOMBIA,LLANOS,aventurero
6,Plata,NO DEFINIDA,N/A,COLOMBIA,,explorador
651,Bronce,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
80,Bronce,PASTO,NARI?O,COLOMBIA,PACIFICO,aventurero
15,Oro,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
100,Bronce,PASTO,NARI?O,COLOMBIA,PACIFICO,explorador
60,Bronce,BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,acostadito
68,Oro,ARMENIA,QUINDIO,COLOMBIA,EJE CAFETERO,explorador
15,Bronce,FLORIDABLANCA,SANTANDER,COLOMBIA,SANTANDERES,recien nacido
6,Plata,COTA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
40,Oro,QUIBDO,CHOCO,COLOMBIA,ANTIOQUIA,explorador
94,Bronce,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,ATLANTICO,aventurero
3,Oro,AMAGA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
22,Oro,APARTADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
12,Plata,SINCELEJO,SUCRE,COLOMBIA,ATLANTICO,aventurero
13,Oro,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Oro,SUAZA,HUILA,COLOMBIA,CENTRO,aventurero
38,Oro,GIRON,SANTANDER,COLOMBIA,SANTANDERES,aventurero
24,Plata,VILLAVICENCIO,META,COLOMBIA,LLANOS,aventurero
31,Oro,PITALITO,HUILA,COLOMBIA,CENTRO,aventurero
43,Bronce,NEIVA,HUILA,COLOMBIA,CENTRO,recien nacido
8,Oro,CAJICA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
4,Oro,CHINCHINA,CALDAS,COLOMBIA,EJE CAFETERO,aventurero
9,Bronce,PITALITO,HUILA,COLOMBIA,CENTRO,aventurero
16,Plata,ITAGUI,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
6,Bronce,RIONEGRO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
3,Oro,LIBANO,TOLIMA,COLOMBIA,CENTRO,aventurero
22,Bronce,PALMIRA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
1,Plata,COROZAL,SUCRE,COLOMBIA,ATLANTICO,aventurero
7,Bronce,CALDAS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
101,Plata,IBAGUE,TOLIMA,COLOMBIA,CENTRO,explorador
40,Oro,TULUA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
26,Oro,YARUMAL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
19,Oro,MARINILLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
2,Plata,SAN ANTONIO DE PRADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
27,Plata,NEIVA,HUILA,COLOMBIA,CENTRO,aventurero
24,Bronce,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,aventurero
1,Bronce,LA VIRGINIA SANTANDER,RISARALDA,COLOMBIA,EJE CAFETERO,explorador
9,Plata,RIONEGRO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
10,Bronce,CAJICA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
34,Plata,CUCUTA,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,aventurero
68,Plata,VILLAVICENCIO,META,COLOMBIA,LLANOS,explorador
2,Oro,ALDANA,NARI?O,COLOMBIA,PACIFICO,explorador
30,Plata,PIEDECUESTA,SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Oro,TIMANA,HUILA,COLOMBIA,CENTRO,explorador
12,Bronce,CIENAGA,MAGDALENA,COLOMBIA,ATLANTICO,explorador
3,Oro,RETIRO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
48,Bronce,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
13,Oro,SABANETA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Oro,COCORNA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
3,Bronce,URRAO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
2,Plata,VILLANUEVA,CASANARE,COLOMBIA,LLANOS,acostadito
42,Oro,ENVIGADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
11,Bronce,YOPAL,CASANARE,COLOMBIA,LLANOS,aventurero
1,Oro,MIRAFLORES,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
1,Oro,SABOYA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
9,Oro,SIBATE,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Plata,SILVANIA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
80,Bronce,IBAGUE,TOLIMA,COLOMBIA,CENTRO,recien nacido
65,Bronce,PEREIRA,RISARALDA,COLOMBIA,EJE CAFETERO,explorador
7,Bronce,MALAMBO,ATLANTICO,COLOMBIA,ATLANTICO,acostadito
52,Bronce,CUCUTA,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,acostadito
15,Oro,YOPAL,CASANARE,COLOMBIA,LLANOS,acostadito
53,Bronce,SOACHA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Plata,FLORIDA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
9,Oro,LA CEJA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
7,Bronce,YUMBO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
24,Plata,MANIZALES,CALDAS,COLOMBIA,EJE CAFETERO,aventurero
27,Oro,PALMIRA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
2,Oro,CAUCA,CAUCA,COLOMBIA,PACIFICO,explorador
2,Plata,MALAMBO,ATLANTICO,COLOMBIA,ATLANTICO,acostadito
4,Plata,SAN SEBASTIAN DE MARIQUITA,TOLIMA,COLOMBIA,CENTRO,explorador
2,Plata,ARAUCA,ARAUCA,COLOMBIA,LLANOS,explorador
13,Oro,VILLA DEL ROSARIO,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,explorador
24,Bronce,MANIZALES,CALDAS,COLOMBIA,EJE CAFETERO,acostadito
9,Plata,LA CEJA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Bronce,CAQUEZA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Plata,MAPIRIPAN,META,COLOMBIA,LLANOS,acostadito
25,Plata,BELLO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
2,Plata,SAN ANTONIO DE PRADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
32,Plata,ARMENIA,QUINDIO,COLOMBIA,EJE CAFETERO,explorador
10,Oro,MARINILLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
8,Plata,SANTA ROSA DE CABAL,RISARALDA,COLOMBIA,EJE CAFETERO,acostadito
4,Bronce,SANTA ROSA DE OSOS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
2,Plata,MONTELIBANO,CORDOBA,COLOMBIA,ATLANTICO,acostadito
1,Plata,MONIQUIRA,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
3,Oro,LA PLATA,HUILA,COLOMBIA,CENTRO,recien nacido
13,Bronce,OCA?A,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,recien nacido
19,Bronce,QUIBDO,CHOCO,COLOMBIA,ANTIOQUIA,aventurero
7,Oro,CALARCA,QUINDIO,COLOMBIA,EJE CAFETERO,recien nacido
1,Bronce,SABOYA,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
3,Oro,SOGAMOSO,BOYACA,COLOMBIA,CUNDI-BOY,embarazada
1,Plata,MOMIL,CORDOBA,COLOMBIA,ATLANTICO,acostadito
8,Plata,ZIPAQUIRA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
4,Plata,GRANADA,META,COLOMBIA,LLANOS,acostadito
1,Bronce,TIBU,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Plata,GUAYABETAL,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
9,Bronce,FUNDACION,MAGDALENA,COLOMBIA,ATLANTICO,explorador
9,Oro,ZIPAQUIRA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
1,Plata,ACHI,BOLIVAR,COLOMBIA,ATLANTICO,acostadito
10,Plata,TULUA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
11,Oro,CHIA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
43,Bronce,BELLO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
4,Bronce,MARINILLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
24,Oro,CHIA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Plata,SAN ANDRES DE CUERQUIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
1,Bronce,PLANADAS,TOLIMA,COLOMBIA,CENTRO,acostadito
17,Oro,OCA?A,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,acostadito
3,Plata,SANTA ROSA DE VITERBO,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
2,Plata,CIUDAD BOLIVAR,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
61,Bronce,CUCUTA,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,recien nacido
16,Bronce,FLORENCIA,CAQUETA,COLOMBIA,LLANOS,acostadito
1,Oro,SAN AGUSTIN,HUILA,COLOMBIA,CENTRO,acostadito
2,Bronce,CAICEDONIA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
3,Oro,PAIPA,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
3,Bronce,ENVIGADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
1,Plata,MANAURE,LA GUAJIRA,COLOMBIA,ATLANTICO,acostadito
3,Bronce,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,embarazada
12,Plata,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,recien nacido
3,Oro,CARTAGO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,embarazada
3,Plata,CAICEDONIA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
7,Bronce,SABANETA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
3,Plata,EL CARMEN DE VIBORAL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
10,Bronce,CIENAGA,MAGDALENA,COLOMBIA,ATLANTICO,aventurero
6,Bronce,BARANOA-ATLANTICO,ATLANTICO,COLOMBIA,ATLANTICO,explorador
6,Bronce,ITAGUI,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
1,Bronce,CHIRIGUANA,CESAR,COLOMBIA,ATLANTICO,acostadito
10,Oro,FUNZA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Bronce,PAIME,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
2,Bronce,CAQUEZA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
3,Bronce,SAMPUES,SUCRE,COLOMBIA,ATLANTICO,explorador
4,Plata,GARZON,HUILA,COLOMBIA,CENTRO,recien nacido
2,Bronce,DAGUA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
1,Plata,SAMUNDI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
3,Bronce,TABIO,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Oro,CONVENCION,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,acostadito
6,Bronce,CHIQUINQUIRA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
9,Bronce,VALLEDUPAR,CESAR,COLOMBIA,ATLANTICO,embarazada
19,Bronce,VILLAVICENCIO,META,COLOMBIA,LLANOS,embarazada
52,Bronce,IBAGUE,TOLIMA,COLOMBIA,CENTRO,acostadito
1,Bronce,LOS ANDES,NARI?O,COLOMBIA,PACIFICO,acostadito
3,Oro,CAMPOALEGRE,HUILA,COLOMBIA,CENTRO,recien nacido
1,Bronce,SANTIAGO DE TOLU,SUCRE,COLOMBIA,ATLANTICO,recien nacido
7,Bronce,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
15,Bronce,BUGA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
8,Bronce,CARTAGO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Oro,BUCARASICA,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,recien nacido
11,Bronce,PIEDECUESTA,SANTANDER,COLOMBIA,SANTANDERES,acostadito
1,Plata,RICAURTE,NARI?O,COLOMBIA,PACIFICO,recien nacido
13,Bronce,MAGANGUE,BOLIVAR,COLOMBIA,ATLANTICO,aventurero
8,Bronce,APARTADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
2,Oro,AGUA DE DIOS,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
2,Bronce,TIBASOSA,BOYACA,COLOMBIA,CUNDI-BOY,embarazada
9,Plata,ENVIGADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
3,Bronce,LEBRIJA,SANTANDER,COLOMBIA,SANTANDERES,explorador
6,Bronce,SOCORRO,SANTANDER,COLOMBIA,SANTANDERES,explorador
6,Bronce,PUERTO COLOMBIA,ATLANTICO,COLOMBIA,ATLANTICO,explorador
2,Bronce,TABIO,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Bronce,PESCA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
8,Bronce,FUNZA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
1,Bronce,LA UNION-VALLE,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
3,Oro,MOMPOS,BOLIVAR,COLOMBIA,ATLANTICO,acostadito
6,Oro,EL SANTUARIO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Plata,CERETE,CORDOBA,COLOMBIA,ATLANTICO,aventurero
3,Bronce,SUBA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
2,Oro,SONSON,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
3,Plata,BUGA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
2,Plata,SAN VICENTE FERRER,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
3,Oro,DONMATIAS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
1,Oro,ANZOATEGUI,TOLIMA,COLOMBIA,CENTRO,acostadito
1,Oro,COROZAL,SUCRE,COLOMBIA,ATLANTICO,embarazada
1,Oro,LA CRUZ,NARI?O,COLOMBIA,PACIFICO,explorador
1,Oro,TAURAMENA,CASANARE,COLOMBIA,LLANOS,aventurero
1,Bronce,SUBA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Oro,ALMIRA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
1,Bronce,TOLU VIEJO,SUCRE,COLOMBIA,ATLANTICO,aventurero
2,Plata,LEBRIJA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
1,Bronce,SITIONUEVO,MAGDALENA,COLOMBIA,ATLANTICO,aventurero
6,Plata,CAJICA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
3,Oro,GARZON,HUILA,COLOMBIA,CENTRO,aventurero
4,Bronce,BOJACA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
12,Oro,SANTA ROSA DE CABAL,RISARALDA,COLOMBIA,EJE CAFETERO,aventurero
1,Bronce,BELALCAZAR,CALDAS,COLOMBIA,EJE CAFETERO,aventurero
1,Oro,CALDONO,CAUCA,COLOMBIA,PACIFICO,explorador
1,Bronce,JUMBO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
2,Bronce,BOSA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
2,Plata,MAGANGUE,BOLIVAR,COLOMBIA,ATLANTICO,acostadito
1,Oro,MISTRATO,RISARALDA,COLOMBIA,EJE CAFETERO,aventurero
22,Bronce,ITAGUI,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
2,Plata,PURIFICACION,TOLIMA,COLOMBIA,CENTRO,explorador
2,Oro,BELEN DE LOS ANDAQUIES,CAQUETA,COLOMBIA,LLANOS,aventurero
3,Plata,MAICAO,LA GUAJIRA,COLOMBIA,ATLANTICO,explorador
1,Plata,PALMAR DE VARELA,ATLANTICO,COLOMBIA,ATLANTICO,acostadito
1,Plata,SAN PEDRO DE CARTAGO,NARI?O,COLOMBIA,PACIFICO,embarazada
4,Bronce,CUMARAL,META,COLOMBIA,LLANOS,explorador
1,Bronce,CAUCASIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
1,Oro,BARICHARA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
1,Bronce,CORDOBA,QUINDIO,COLOMBIA,EJE CAFETERO,recien nacido
2,Plata,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
2,Oro,RIOHACHA,LA GUAJIRA,COLOMBIA,ATLANTICO,acostadito
1,Bronce,PUERTO CAICEDO,PUTUMAYO,COLOMBIA,PACIFICO,explorador
1,Plata,LOS PALMITOS,SUCRE,COLOMBIA,ATLANTICO,recien nacido
3,Plata,FLORIDA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
2,Plata,PITAL,HUILA,COLOMBIA,CENTRO,explorador
2,Plata,SOPO,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Plata,TIBU,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,recien nacido
1,Plata,ALVARADO,TOLIMA,COLOMBIA,CENTRO,explorador
3,Bronce,SANTA ROSA DE OSOS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
11,Oro,ACACIAS,META,COLOMBIA,LLANOS,recien nacido
3,Plata,VILLAMARIA,CALDAS,COLOMBIA,EJE CAFETERO,explorador
11,Bronce,TURBACO,BOLIVAR,COLOMBIA,ATLANTICO,explorador
7,Oro,CHIA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
22,Oro,VALLEDUPAR,CESAR,COLOMBIA,ATLANTICO,acostadito
3,Plata,FUSAGASUGA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
3,Oro,ARJONA,BOLIVAR,COLOMBIA,ATLANTICO,recien nacido
6,Bronce,BUENAVENTURA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
1,Plata,EL RETORNO,GUAVIARE,COLOMBIA,ATLANTICO,acostadito
5,Bronce,COPACABANA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
5,Oro,PEREIRA,RISARALDA,COLOMBIA,EJE CAFETERO,embarazada
13,Bronce,VALLEDUPAR,CESAR,COLOMBIA,ATLANTICO,acostadito
4,Oro,URRAO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
3,Bronce,FONSECA,LA GUAJIRA,COLOMBIA,ATLANTICO,aventurero
1,Bronce,SILVIA,CAUCA,COLOMBIA,PACIFICO,explorador
1,Bronce,SAN PEDRO,SUCRE,COLOMBIA,ATLANTICO,acostadito
2,Bronce,CHIQUINQUIRA,BOYACA,COLOMBIA,CUNDI-BOY,aventurero
1,Oro,RAMIRIQUI,BOYACA,COLOMBIA,CUNDI-BOY,recien nacido
1,Oro,COLOMBIA,HUILA,COLOMBIA,CENTRO,recien nacido
2,Oro,SOPO,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
5,Oro,SOACHA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
2,Bronce,BUESACO,NARI?O,COLOMBIA,PACIFICO,explorador
1,Plata,AGUA DE DIOS,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
3,Oro,NOBSA,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
5,Bronce,GALAPA,ATLANTICO,COLOMBIA,ATLANTICO,acostadito
4,Bronce,TAME,ARAUCA,COLOMBIA,LLANOS,aventurero
1,Bronce,OROCUE,CASANARE,COLOMBIA,LLANOS,recien nacido
2,Bronce,TRUJILLO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
1,Bronce,SAN ONOFRE,SUCRE,COLOMBIA,ATLANTICO,aventurero
2,Bronce,RETIRO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
2,Bronce,BOJACA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
2,Oro,SANTA ROSA DE OSOS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
6,Bronce,CALDAS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Bronce,SAN RAFAEL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Plata,PALMAR DE VARELA,ATLANTICO,COLOMBIA,ATLANTICO,recien nacido
3,Bronce,CALARCA,QUINDIO,COLOMBIA,EJE CAFETERO,embarazada
7,Bronce,CALDAS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
2,Bronce,PACORA,CALDAS,COLOMBIA,EJE CAFETERO,recien nacido
2,Oro,PUERTO COLOMBIA,ATLANTICO,COLOMBIA,ATLANTICO,aventurero
1,Plata,YOPAL,CASANARE,COLOMBIA,LLANOS,embarazada
3,Bronce,OCA?A,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,embarazada
5,Oro,MALAGA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
2,Plata,COGUA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Oro,GUATAPE,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Oro,SALADOBLANCO,HUILA,COLOMBIA,CENTRO,aventurero
2,Oro,ORITO,PUTUMAYO,COLOMBIA,PACIFICO,explorador
1,Plata,GIRARDOT,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Plata,MATANZA,SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Bronce,TRUJILLO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
3,Bronce,TURBO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Plata,EL ZULIA,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,aventurero
1,Oro,MORELIA,CAQUETA,COLOMBIA,LLANOS,explorador
4,Bronce,BARBOSA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
3,Oro,BOJACA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Plata,LA APARTADA,CORDOBA,COLOMBIA,ATLANTICO,explorador
3,Plata,TUQUERRES,NARI?O,COLOMBIA,PACIFICO,explorador
2,Oro,NORCASIA,CALDAS,COLOMBIA,EJE CAFETERO,explorador
2,Plata,OIBA,SANTANDER,COLOMBIA,SANTANDERES,recien nacido
2,Oro,COLOMBIA,HUILA,COLOMBIA,CENTRO,acostadito
3,Bronce,RICAURTE,NARI?O,COLOMBIA,PACIFICO,explorador
1,Oro,BOLIVAR,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
2,Bronce,AGUADAS,CALDAS,COLOMBIA,EJE CAFETERO,explorador
1,Plata,HATONUEVO,LA GUAJIRA,COLOMBIA,ATLANTICO,acostadito
2,Plata,YAGUARA,HUILA,COLOMBIA,CENTRO,explorador
8,Bronce,PITALITO,HUILA,COLOMBIA,CENTRO,recien nacido
1,Bronce,INZA,CAUCA,COLOMBIA,PACIFICO,explorador
1,Plata,VILLAMARIA,CALDAS,COLOMBIA,EJE CAFETERO,embarazada
6,Oro,CAUCASIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
1,Bronce,BOSA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
1,Oro,MARQUETALIA,CALDAS,COLOMBIA,EJE CAFETERO,embarazada
3,Bronce,FRESNO,TOLIMA,COLOMBIA,CENTRO,explorador
1,Oro,FUNDACION,MAGDALENA,COLOMBIA,ATLANTICO,acostadito
4,Bronce,LA VIRGINIA,RISARALDA,COLOMBIA,EJE CAFETERO,explorador
1,Bronce,SAN MIGUEL,PUTUMAYO,COLOMBIA,PACIFICO,acostadito
2,Oro,FLORIDA- BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,recien nacido
1,Oro,CURITI,SANTANDER,COLOMBIA,SANTANDERES,acostadito
1,Oro,ROLDANILLO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Oro,FILANDIA,QUINDIO,COLOMBIA,EJE CAFETERO,recien nacido
2,Bronce,EL DOVIO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
1,Oro,EL PE?OL,NARI?O,COLOMBIA,PACIFICO,acostadito
2,Bronce,ARACATACA,MAGDALENA,COLOMBIA,ATLANTICO,explorador
