USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
1,Oro,TORO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
1,Oro,TAMINANGO,NARI?O,COLOMBIA,PACIFICO,aventurero
1,Oro,EL GUAMO,TOLIMA,COLOMBIA,CENTRO,aventurero
2,Bronce,SAN MARTIN,META,COLOMBIA,LLANOS,explorador
2,Bronce,CAJICA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,embarazada
3,Bronce,BUESACO,NARI?O,COLOMBIA,PACIFICO,aventurero
3,Bronce,ANDALUCIA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
1,Oro,BETULIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Oro,GRANADA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
2,Oro,VILLAPINZON,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Oro,GARAGOA,BOYACA,COLOMBIA,CUNDI-BOY,explorador
1,Bronce,YOTOCO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,embarazada
1,Bronce,AMBALEMA,TOLIMA,COLOMBIA,CENTRO,explorador
1,Plata,LA HORMIGA,PUTUMAYO,COLOMBIA,PACIFICO,acostadito
1,Plata,CERETE,CORDOBA,COLOMBIA,ATLANTICO,acostadito
1,Oro,SAN PEDRO,VALLE DEL CAUCA,COLOMBIA,PACIFICO,recien nacido
1,Plata,CHITAGA,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,acostadito
3,Oro,PUERTO RICO,CAQUETA,COLOMBIA,LLANOS,explorador
3,Oro,CIUDAD BOLIVAR,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
1,Bronce,CALDONO,CAUCA,COLOMBIA,PACIFICO,explorador
1,Oro,NATAGAIMA,TOLIMA,COLOMBIA,CENTRO,recien nacido
2,Oro,LA MESA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
2,Plata,CAJICA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Plata,SAN GIL,SANTANDER,COLOMBIA,SANTANDERES,embarazada
1,Oro,SUESCA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
2,Plata,LA PLATA,HUILA,COLOMBIA,CENTRO,recien nacido
2,Bronce,PUERTO BERRIO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
2,Bronce,SOCHA,BOYACA,COLOMBIA,CUNDI-BOY,recien nacido
1,Bronce,CIUDAD BOLIVAR,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
1,Bronce,MORROA,SUCRE,COLOMBIA,ATLANTICO,explorador
