ID,CIUDAD,DEPARTAMENTO,PAIS,FECHA_PRIMER_CONTACTO,DISTRITO,ETAPA_BEBE,HIJOS
5352072,VALLEDUPAR,CESAR,COLOMBIA,2017-06-16,ATLANTICO,aventurero,1
6047397,MADRID,CUNDINAMARCA,COLOMBIA,2017-07-23,CUNDI-BOY,N/A,0
6025678,PASTO,NARI?O,COLOMBIA,2017-03-06,PACIFICO,N/A,0
6059119,MANIZALES,CALDAS,COLOMBIA,2019-09-13,EJE CAFETERO,explorador,1
6095561,ITAGUI,ANTIOQUIA,COLOMBIA,2019-03-13,ANTIOQUIA,explorador,1
6128043,MEDELLIN,ANTIOQUIA,COLOMBIA,2019-05-30,ANTIOQUIA,acostadito,1
6110483,SANTA MARTA,MAGDALENA,COLOMBIA,2019-07-30,ATLANTICO,acostadito,1
6075898,SANTANDER DE QUILICHAO,CAUCA,COLOMBIA,2019-05-06,PACIFICO,N/A,0
6056396,COPACABANA,ANTIOQUIA,COLOMBIA,2017-04-10,ANTIOQUIA,N/A,0
6100011,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-05-31,ATLANTICO,36 o mayor,1
5633533,BELLO,ANTIOQUIA,COLOMBIA,2019-06-25,ANTIOQUIA,embarazada,1
6058628,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-04-12,ANTIOQUIA,N/A,0
5924095,CHIGORODO,ANTIOQUIA,COLOMBIA,2018-04-06,ANTIOQUIA,aventurero,1
6012376,IBAGUE,TOLIMA,COLOMBIA,2018-06-13,CENTRO,N/A,0
6062217,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-07-01,CUNDI-BOY,recien nacido,1
6006647,FUNZA,CUNDINAMARCA,COLOMBIA,2017-02-07,CUNDI-BOY,N/A,0
6082610,SOGAMOSO,BOYACA,COLOMBIA,2017-05-16,CUNDI-BOY,36 o mayor,1
6164620,SAN ANDRES,SAN ANDRES ISLAS,COLOMBIA,2019-05-11,ATLANTICO,N/A,0
6141299,FACATATIVA,CUNDINAMARCA,COLOMBIA,2017-07-24,CUNDI-BOY,N/A,0
6136218,ESPINAL,TOLIMA,COLOMBIA,2017-07-17,CENTRO,N/A,0
6128219,CALI,VALLE DEL CAUCA,COLOMBIA,2019-03-11,PACIFICO,36 o mayor,1
6145140,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-07-28,CUNDI-BOY,N/A,0
6181621,VILLAVICENCIO,META,COLOMBIA,2019-06-22,LLANOS,recien nacido,1
6087290,IBAGUE,TOLIMA,COLOMBIA,2017-06-05,CENTRO,36 o mayor,1
6161171,BARRANQUILLA,ATLANTICO,COLOMBIA,2018-09-30,ATLANTICO,explorador,1
6033535,MARINILLA,ANTIOQUIA,COLOMBIA,2018-07-03,ANTIOQUIA,explorador,1
6153080,TUNJA,BOYACA,COLOMBIA,2017-08-08,CUNDI-BOY,N/A,0
6172324,SIBUNDOY,PUTUMAYO,COLOMBIA,2018-08-07,PACIFICO,aventurero,1
6146981,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-09-30,CUNDI-BOY,N/A,0
6139690,BARRANQUILLA,ATLANTICO,COLOMBIA,2019-08-15,ATLANTICO,acostadito,1
6046017,ARMENIA,QUINDIO,COLOMBIA,2017-06-04,EJE CAFETERO,N/A,0
5995735,CALI,VALLE DEL CAUCA,COLOMBIA,2019-08-28,PACIFICO,embarazada,1
6015927,MEDELLIN,ANTIOQUIA,COLOMBIA,2019-07-19,ANTIOQUIA,recien nacido,1
6112491,SANTUARIO,ANTIOQUIA,COLOMBIA,2017-06-15,ANTIOQUIA,N/A,0
6163266,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-08-22,CUNDI-BOY,N/A,0
6095298,VILLAVICENCIO,META,COLOMBIA,2017-05-25,LLANOS,N/A,0
6142621,BARRANQUILLA,ATLANTICO,COLOMBIA,2018-03-07,ATLANTICO,aventurero,1
6174665,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-01-21,CUNDI-BOY,N/A,0
6101198,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-06-02,ANTIOQUIA,N/A,0
6172306,MONTERIA,CORDOBA,COLOMBIA,2019-03-08,ATLANTICO,recien nacido,1
6023256,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-08-10,CUNDI-BOY,N/A,0
6171219,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-03-17,CUNDI-BOY,explorador,1
6099587,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-05-31,CUNDI-BOY,aventurero,1
5891854,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2018-06-07,ATLANTICO,aventurero,1
6108987,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,2019-10-18,ATLANTICO,embarazada,1
6059416,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-05-18,ATLANTICO,aventurero,1
6129388,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-09-06,ANTIOQUIA,aventurero,1
6188485,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-09-18,CUNDI-BOY,N/A,0
6189125,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-11-16,CUNDI-BOY,aventurero,1
6189245,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-11-20,CUNDI-BOY,aventurero,1
6188965,CODAZZI,CESAR,COLOMBIA,2019-06-19,ATLANTICO,acostadito,1
6143017,BOSCONIA,CESAR,COLOMBIA,2019-02-01,ATLANTICO,recien nacido,1
6156298,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-08-23,ATLANTICO,aventurero,1
6192651,RIOHACHA,LA GUAJIRA,COLOMBIA,2018-08-06,ATLANTICO,explorador,1
6152380,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-09-11,CUNDI-BOY,aventurero,1
6126861,SOACHA,CUNDINAMARCA,COLOMBIA,2018-02-02,CUNDI-BOY,N/A,0
6156822,FLORIDABLANCA,SANTANDER,COLOMBIA,2018-09-22,SANTANDERES,explorador,1
6164462,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-08-23,ANTIOQUIA,N/A,0
6173784,VILLAVICENCIO,META,COLOMBIA,2017-09-05,LLANOS,N/A,0
6179824,EL CERRITO,VALLE DEL CAUCA,COLOMBIA,2017-10-28,PACIFICO,aventurero,1
6059667,MEDELLIN,ANTIOQUIA,COLOMBIA,2018-03-07,ANTIOQUIA,aventurero,1
5854334,FACATATIVA,CUNDINAMARCA,COLOMBIA,2017-10-01,CUNDI-BOY,aventurero,1
5697133,BARRANCABERMEJA,SANTANDER,COLOMBIA,2019-03-31,SANTANDERES,aventurero,1
6009535,PASTO,NARI?O,COLOMBIA,2017-02-15,PACIFICO,aventurero,1
6075496,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-05-15,ATLANTICO,aventurero,1
6094517,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-05-24,ANTIOQUIA,N/A,0
6194225,ARMENIA,QUINDIO,COLOMBIA,2018-04-18,EJE CAFETERO,explorador,1
6162961,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-08-24,ATLANTICO,aventurero,1
6201066,FLORIDA,VALLE DEL CAUCA,COLOMBIA,2018-08-29,PACIFICO,36 o mayor,1
6076127,SOGAMOSO,BOYACA,COLOMBIA,2017-05-02,CUNDI-BOY,N/A,0
6014595,BELLO,ANTIOQUIA,COLOMBIA,2017-02-17,ANTIOQUIA,N/A,0
6021595,MANIZALES,CALDAS,COLOMBIA,2017-02-27,EJE CAFETERO,N/A,0
6073155,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-08-10,CUNDI-BOY,N/A,0
6081315,SANTA MARTA,MAGDALENA,COLOMBIA,2017-06-13,ATLANTICO,aventurero,1
6320186,CUCUTA,NORTE DE SANTANDER,COLOMBIA,2019-01-30,SANTANDERES,N/A,0
6218951,ENVIGADO,ANTIOQUIA,COLOMBIA,2017-10-26,ANTIOQUIA,N/A,0
5963234,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2019-05-30,CUNDI-BOY,acostadito,1
